CONDITION,COUNT
Wound infection,201
Epidural haemorrhage,6
Foetal heart rate abnormal,15
Live birth,137
Spinal epidural haemorrhage,3
Ankle brachial index decreased,2
Antinuclear antibody increased,22
Iliac artery occlusion,14
Intermittent claudication,33
Peripheral ischaemia,72
Radial pulse abnormal,1
Vertigo CNS origin,3
Therapy non-responder,1175
Eosinophil count increased,204
Haematocrit increased,67
Hyposmia,31
Nasal obstruction,25
Blood folate decreased,18
Localised oedema,111
Macular pigmentation,3
Nail infection,49
International normalised ratio fluctuation,50
Duodenal ulcer haemorrhage,67
Application site mass,9
Blood prolactin abnormal,57
Optic nerve disorder,33
Incorrect dose administered by device,524
Haemodynamic instability,141
Pregnancy,235
Osteonecrosis,261
Candida infection,479
Uterine prolapse,34
Bronchitis chronic,71
Drug use disorder,78
Bronchopulmonary aspergillosis,205
Pharyngeal inflammation,22
Tongue disorder,129
Incision site abscess,9
Ovarian cyst ruptured,23
Postoperative abscess,16
Joint warmth,23
Osteomyelitis chronic,11
Drug screen positive,123
Pulmonary artery stenosis congenital,13
Gout,420
Ventricular septal defect,102
Blood iron increased,50
Respiratory tract oedema,25
Ischaemic stroke,425
Congenital hand malformation,18
Double ureter,1
Congenital vesicoureteric reflux,5
Ankyloglossia congenital,9
Arthropod sting,33
Mite allergy,18
Ear canal stenosis,3
Microtia,5
Pierre Robin syndrome,15
Intentional dose omission,389
DiGeorge's syndrome,1
Fallot's tetralogy,12
Hemivertebra,5
Limb malformation,15
Multiple congenital abnormalities,25
Overlap syndrome,14
Hepatitis C,266
Hidradenitis,100
Metabolic surgery,39
Neurosyphilis,8
Retinitis,24
Food allergy,146
Bone lesion,84
Anal sphincter atony,10
Bladder diverticulum,5
Hyperplasia adrenal,6
Perinephric collection,8
Pulmonary sarcoidosis,23
Arteriosclerosis coronary artery,70
Bundle branch block left,59
Chorioretinopathy,49
Chronic fatigue syndrome,34
Coronary vein stenosis,2
Deafness neurosensory,63
Essential hypertension,49
Food poisoning,135
Hyperthyroidism,337
Microcytic anaemia,48
Neuritis,27
Open angle glaucoma,10
Poor peripheral circulation,83
Seronegative arthritis,29
Juvenile idiopathic arthritis,85
Small fibre neuropathy,20
Immune thrombocytopenic purpura,237
Thyroiditis,64
Oxygen saturation abnormal,84
Catheter management,98
Transfusion,325
Administration site bruise,8
Gallbladder oedema,10
Injection site fibrosis,2
Injection site scar,71
Mitral valve disease,34
Tricuspid valve disease,20
Adrenergic syndrome,1
Intervertebral disc injury,7
Product prescribing issue,253
Autism spectrum disorder,65
Communication disorder,66
Dysmorphism,49
Executive dysfunction,8
Hypermobility syndrome,39
Intellectual disability,44
Learning disability,12
Oversensing,1
Plagiocephaly,14
Prognathism,3
Psychomotor retardation,71
Social problem,25
Speech disorder developmental,25
Auditory disorder,49
Chronic myeloid leukaemia recurrent,34
Hand fracture,126
Platelet count abnormal,147
Metastatic lymphoma,11
Ovarian cancer,93
Hormone level abnormal,107
Pneumonia chlamydial,4
Arthritis bacterial,91
Bladder transitional cell carcinoma,124
Uterine cancer,70
Giardiasis,9
Gluten sensitivity,52
Immune-mediated necrotising myopathy,76
Intestinal ischaemia,99
Portal venous gas,3
Troponin I increased,41
Carotid artery stenosis,32
Clostridial infection,29
Urinary tract infection bacterial,81
Astigmatism,40
Hypospadias,24
Hypotonia neonatal,14
Motor developmental delay,10
Skull malformation,14
Thrombocytopenia neonatal,3
Tongue coated,34
Haematemesis,492
Bone erosion,137
Breast disorder female,4
Rocky mountain spotted fever,7
Thyroid cancer,145
Diverticular perforation,55
Allergy to vaccine,5
Laryngeal disorder,26
Larynx irritation,11
Upper airway obstruction,31
Typical aura without headache,2
Dysplasia,18
Telangiectasia,15
Bronchial secretion retention,26
Disorganised speech,30
Eye injury,72
Functional residual capacity increased,6
Sputum increased,78
Aspiration pleural cavity,22
Colon cancer,288
Malignant pleural effusion,40
Erosive oesophagitis,36
Rectal ulcer,25
Device embolisation,22
Menstruation irregular,251
Soft tissue swelling,28
Choking sensation,150
Humidity intolerance,28
Antineutrophil cytoplasmic antibody positive,9
Autoimmune neutropenia,2
Clonic convulsion,12
Culture urine positive,25
Feeding tube user,9
Laryngotracheal operation,1
Liver transplant rejection,47
Status epilepticus,261
Tracheal haemorrhage,7
Urine leukocyte esterase positive,40
Conjunctival haemorrhage,88
Impaired self-care,67
Nosocomial infection,45
Stenosis,58
BK virus infection,87
Cytomegalovirus infection,518
Epstein-Barr virus infection,150
JC virus infection,47
Kidney transplant rejection,92
Aortic aneurysm,144
Drug withdrawal convulsions,31
Oesophageal rupture,17
Pneumomediastinum,55
C-reactive protein,3
Fear of injection,140
Red blood cell sedimentation rate,11
Rheumatoid factor negative,13
Product administered to patient of inappropriate age,209
Erosive duodenitis,26
Metabolic encephalopathy,57
Anal polyp,3
Delayed recovery from anaesthesia,26
Lung infiltration,119
Myoclonus,265
B-cell lymphoma,98
Sleep deficit,58
Cholecystitis acute,97
Haemorrhagic arteriovenous malformation,9
Haemangioma of liver,18
Deafness transitory,25
Shoulder arthroplasty,55
Oesophageal polyp,2
Lymphocytosis,43
Burns third degree,19
Eye oedema,48
Enterococcal infection,95
Purpura,187
Skin erosion,102
Venous thrombosis,88
Ligament pain,16
Orthopnoea,71
Pertussis,27
Sinus pain,93
Tendon pain,240
Oesophageal carcinoma,68
CSF cell count increased,2
CSF lymphocyte count increased,3
Eosinophilic granulomatosis with polyangiitis,34
Facial paresis,85
Meningeal disorder,11
Vasculitis,224
Vasculitis necrotising,13
Adrenocortical insufficiency acute,31
Hypogonadism,12
Hypophysitis,85
Secondary hypothyroidism,7
Ileostomy,41
Foetal death,113
Night blindness,20
Traumatic haemothorax,14
Breakthrough pain,33
Defaecation urgency,121
Product physical issue,403
Regurgitation,54
Suspected counterfeit product,78
Latent tuberculosis,58
Hepatic infection,29
Liver abscess,66
Sudden onset of sleep,29
Hostility,29
Lower respiratory tract inflammation,2
Vulvovaginal mycotic infection,96
Renal cell carcinoma,77
Abdominal operation,28
Adhesion,41
Colostomy,39
Finger amputation,12
Immune system disorder,335
Raynaud's phenomenon,100
Jejunal ulcer,3
Sciatic nerve injury,22
Varicose ulceration,9
Calculus urinary,37
Computerised tomogram,4
Hydronephrosis,194
Diabetes insipidus,42
Injection site abscess,47
Hepatic siderosis,2
Spleen disorder,48
Mumps,12
Pulmonary pain,69
Biliary tract disorder,36
Bladder neoplasm,36
Appendix disorder,26
Generalised tonic-clonic seizure,472
Eye operation,82
Ocular procedural complication,23
Lymphatic disorder,10
Leukaemia,189
Product packaging issue,195
Hypoparathyroidism,21
Lymphangitis,22
Sternal fracture,27
Thyroid hormones decreased,21
Vocal cord thickening,6
Eosinophil count decreased,35
Breast cancer stage III,28
Blood albumin increased,18
High density lipoprotein decreased,48
Hypertensive crisis,301
Blood calcium increased,161
Blood magnesium increased,38
Oropharyngeal swelling,10
Connective tissue disorder,41
Injection site oedema,35
Saliva altered,14
Wound secretion,98
Self-injurious ideation,77
Cutaneous vasculitis,40
Infiltration anaesthesia,4
Joint arthroplasty,39
Oral mucosal exfoliation,37
Vasculitic rash,12
Extrasystoles,138
Zika virus infection,5
Hangover,84
Dermatitis psoriasiform,44
Keratitis,66
Penile ulceration,7
Sinus arrhythmia,22
Angiopathy,91
Blood triglycerides abnormal,15
Blood loss anaemia,154
Seborrhoeic keratosis,58
Energy increased,143
Menopausal symptoms,40
Faecal vomiting,10
Salivary hypersecretion,240
Drug level decreased,235
Scar pain,9
Wrist deformity,35
5-hydroxyindolacetic acid in urine increased,2
Blood chromogranin A increased,11
Cholangitis infective,8
Product solubility abnormal,127
Gastrointestinal surgery,21
Aspartate aminotransferase decreased,20
Ankle operation,32
Pulmonary function test abnormal,55
Skin papilloma,116
Basal ganglia haemorrhage,16
Chemical poisoning,5
Extremity necrosis,43
Vascular pseudoaneurysm,43
Haemoglobin abnormal,120
Incorrect dosage administered,134
Nail disorder,174
Bile duct obstruction,66
Diabetic retinopathy,60
Splenic cyst,7
Urine flow decreased,36
Schizophrenia,304
Colour blindness,20
Incorrect disposal of product,46
Pancreatic enlargement,6
Factor VIII deficiency,9
Haemophilic arthropathy,3
Pseudohyperkalaemia,1
Tinea pedis,38
Gastrointestinal mucosal necrosis,2
Initial insomnia,171
Sleep talking,35
Periarthritis,62
Restless legs syndrome,359
Dark circles under eyes,35
Dry throat,217
Blood glucose abnormal,402
Pericarditis infective,3
Tick-borne fever,1
Renal tubular disorder,68
Neuromyopathy,38
Crystal urine present,33
Fibrous histiocytoma,16
Trigeminal neuralgia,108
Vertebral foraminal stenosis,9
Actinic keratosis,86
Hand dermatitis,7
Keratoacanthoma,16
Vertigo positional,33
ECG signs of myocardial ischaemia,3
Electrocardiogram abnormal,149
Tinea versicolour,9
Infusion site extravasation,143
Purulent discharge,78
Nephrogenic anaemia,1152
Oedema due to renal disease,2
Keratosis pilaris,8
Cardiac operation,176
Allergy to chemicals,28
Breast injury,5
Hepatic cyst,69
Hepatic mass,56
Infectious mononucleosis,40
Oral mucosal eruption,39
Traumatic lung injury,65
CSF volume increased,4
Cerebral vasoconstriction,12
Chorea,21
Intracranial pressure increased,114
Lip injury,44
Transfusion-related circulatory overload,7
Haemangioma of skin,22
Neoplasm skin,43
Presbyopia,7
Seborrhoeic dermatitis,38
Solar lentigo,35
Brow ptosis,6
JC polyomavirus test positive,39
Blood creatine decreased,5
Extensor plantar response,22
Sunburn,188
Pneumothorax spontaneous,21
Bronchiectasis,180
H2N2 influenza,1
Pleurodesis,2
5-hydroxyindolacetic acid increased,2
C-reactive protein decreased,30
Skin irritation,3297
End stage renal disease,5334
Jaw fracture,48
Lip pain,61
Knee operation,195
Bacterial vaginosis,35
Chlamydia test positive,2
Subchorionic haemorrhage,2
Anticonvulsant drug level increased,9
Gingival hypertrophy,41
Circumcision,3
Therapy cessation,2217
Herpes zoster infection neurological,6
Ophthalmic herpes zoster,51
Renal cell carcinoma recurrent,2
Vaginal disorder,25
Gingival cancer,7
Conjunctivitis viral,10
Pulmonary calcification,12
Lip ulceration,35
Cervical spinal stenosis,41
Metabolic disorder,95
Spinal flattening,1
Fuchs' syndrome,3
Renal cancer,178
Nasal ulcer,28
Wound haemorrhage,98
Off label use of device,33
Drug specific antibody present,86
Papule,169
Shoulder deformity,5
Sleep disorder due to a general medical condition,135
Surgical failure,46
Nail operation,8
Wrong technique in device usage process,1096
Cardiogenic shock,313
Left ventricular hypertrophy,85
Peripheral venous disease,71
Pyuria,23
Renal tubular acidosis,45
Allergic cough,19
Urethral stenosis,13
Thalamus haemorrhage,24
Snoring,90
Dissociation,93
Obsessive-compulsive disorder,138
Sleep-related eating disorder,27
Prostate infection,27
Dental operation,46
Mental fatigue,28
Vitamin B12 decreased,71
Feeling drunk,136
Ingrown hair,22
Injection related reaction,44
Carbon monoxide poisoning,6
Cyst removal,8
Infusion,10
Limb operation,108
Endocrine disorder,25
Irregular breathing,15
Autonomic neuropathy,21
Somnambulism,131
Dyskinesia,808
Sleep sex,1
Vulval abscess,14
Cardiotoxicity,209
Sleep terror,96
Red blood cell count abnormal,37
Rhinovirus infection,110
Macular degeneration,207
Metamorphopsia,34
Antibody test positive,56
Body height below normal,50
Drug specific antibody,56
Human antichimeric antibody positive,33
Joint destruction,34
Polyarthritis,171
Quality of life decreased,210
Foetal distress syndrome,40
Formication,125
Mydriasis,222
Injection site hyperaesthesia,8
Injection site hypersensitivity,78
Hepatic enzyme abnormal,132
Cerebrovascular disorder,30
Gammopathy,1
Non-Hodgkin's lymphoma,105
Milk allergy,7
Milk soy protein intolerance,2
Mucosal membrane hyperplasia,1
Fracture infection,3
Gastric haemorrhage,229
Syringe issue,209
Erysipelothrix infection,3
Mycobacterial infection,57
Fungal skin infection,84
Thyroidectomy,18
Hyperammonaemia,66
Rotator cuff repair,29
Orthostatic hypertension,32
Fear of death,47
Gastrointestinal motility disorder,126
Blood bilirubin decreased,20
Blood chloride increased,41
Therapy partial responder,192
Phlebitis,118
Macule,123
Product preparation issue,112
Still's disease,38
Ventricular tachycardia,289
Rosacea,142
Oral fungal infection,59
Oral lichen planus,8
Coma blister,1
Hyporesponsive to stimuli,29
Pustular psoriasis,64
Neutrophil percentage increased,38
Tachyarrhythmia,57
Arteriovenous graft thrombosis,2
Sudden hearing loss,40
Aortic elongation,1
Hyporeflexia,48
Loss of control of legs,59
Nerve conduction studies abnormal,4
Spinal cord lipoma,1
Vascular encephalopathy,11
Testicular disorder,11
Microangiopathic haemolytic anaemia,20
Vena cava thrombosis,22
Reflexes abnormal,14
Nephropathy,669
Atrial enlargement,17
Coagulopathy,310
Diastolic dysfunction,52
Intestinal mass,31
Renal infarct,33
Splenic infarction,34
Autoimmune thyroiditis,94
Blood sodium decreased,349
Catheterisation cardiac,135
Contrast media reaction,31
Corneal dystrophy,4
Colon adenoma,26
Glomerulonephritis membranoproliferative,11
Mesenteric panniculitis,4
Pyelonephritis acute,60
Goitre,100
Foreign body in respiratory tract,157
Warm type haemolytic anaemia,1
Polycystic ovaries,24
Hepatitis,552
Vein disorder,92
Haemorrhage urinary tract,73
Haemorrhagic hepatic cyst,1
Cystic fibrosis respiratory infection suppression,68
Respiration abnormal,215
Heart valve incompetence,72
Pulmonary granuloma,12
Device failure,251
Endodontic procedure,33
Peritonitis,307
Infusion site discolouration,14
Infusion site haemorrhage,46
Infusion site induration,30
Infusion site infection,32
Infusion site pain,223
Infusion site pruritus,53
Large intestine infection,57
Monoplegia,80
Uhthoff's phenomenon,41
Application site paraesthesia,16
Squamous cell carcinoma of skin,161
Corneal oedema,41
Metastases to kidney,13
Conjunctivitis allergic,32
Breast abscess,19
Erythrodermic psoriasis,18
Giant cell tumour of tendon sheath,2
Hepatorenal syndrome,30
Hyperphosphataemia,29
Lumbar vertebral fracture,131
Omental infarction,2
Perichondritis,6
Tick-borne viral encephalitis,1
Tubo-ovarian abscess,4
Lower respiratory tract infection viral,25
Medical device site swelling,4
Maculopathy,55
Adnexa uteri pain,25
Fallopian tube disorder,4
Self esteem decreased,28
Intervertebral disc disorder,97
Neck deformity,15
Skin wound,37
Bipolar disorder,190
Central venous catheterisation,66
Intervertebral disc operation,23
Impetigo,41
White blood cell count abnormal,176
Abdominal neoplasm,17
Aortic occlusion,10
Hypopnoea,110
Tumour pain,46
Thyrotoxic crisis,26
Infusion site vesicles,6
Product preparation error,121
Injection site paraesthesia,36
Psychotic disorder due to a general medical condition,2
Substance-induced psychotic disorder,61
Atypical pneumonia,73
Blood phosphorus increased,61
Reticulocyte count decreased,12
Soft tissue disorder,30
Drug clearance decreased,45
Dental care,60
Drug level above therapeutic,85
Anisocytosis,9
Hypochromic anaemia,24
Neutrophilia,168
Angiolipoma,2
Ligamentum flavum hypertrophy,2
Nerve root injury,3
Tendon dislocation,1
Splenic vein thrombosis,5
Ventricular hypertrophy,19
Serum ferritin increased,146
Blood alkaline phosphatase decreased,35
Disturbance in sexual arousal,16
Enterocolitis,141
Pelvic abscess,32
Allergic respiratory symptom,12
Arteriospasm coronary,106
Blood creatine increased,75
Trigger finger,76
Cyclothymic disorder,7
Facial spasm,29
Anhedonia,756
Bronchiolitis,65
Croup infectious,16
Dermatitis diaper,16
Near drowning,3
Stridor,54
Bladder hypertrophy,11
Early satiety,28
Alcohol use,37
Ankle deformity,25
Aortic bruit,7
Elbow operation,15
Dermal cyst,49
Flat affect,31
Hemianaesthesia,49
Ocular hypertension,45
Humerus fracture,105
Lymphocyte percentage decreased,44
Paronychia,112
Haemorrhoids thrombosed,19
Retinal cyst,3
Uterine leiomyoma,121
Rectocele,10
Undifferentiated connective tissue disease,2
Generalised anxiety disorder,21
Leiomyoma,26
Anaesthetic complication cardiac,1
Catheter site erythema,101
Drain placement,6
Pulmonary arterial pressure increased,62
Procedural complication,103
Respiratory fume inhalation disorder,12
Accident at home,11
Arterial haemorrhage,24
Intentional device misuse,186
Spinal cord injury cervical,7
Throat lesion,13
Tongue injury,23
Urinary bladder rupture,6
Catheter site discharge,45
Pulmonary arterial hypertension,503
Malignant sweat gland neoplasm,2
Glucose tolerance decreased,2
Malignant melanoma stage I,12
Malignant melanoma stage III,11
Metastatic malignant melanoma,53
Abdominal abscess,101
Bacterial sepsis,65
Axillary lymphadenectomy,2
Anal fissure,110
Anal fistula,121
Extra dose administered,683
Acute sinusitis,55
Adenoidal hypertrophy,6
Hypermetropia,22
Hypoplastic left heart syndrome,10
Hypoplastic right heart syndrome,12
Left-to-right cardiac shunt,20
Otitis media acute,21
Patent ductus arteriosus,58
Pleural thickening,42
Pneumonia streptococcal,28
Pulmonary artery dilatation,9
Right atrial dilatation,23
Right ventricular dilatation,45
Soft tissue infection,45
Tonsillar hypertrophy,48
Transposition of the great vessels,12
Hypersensitivity vasculitis,101
Charles Bonnet syndrome,5
Therapeutic product effect delayed,223
Bladder discomfort,31
Nasal discomfort,151
Labelled drug-food interaction medication error,13
Lung cyst,18
Accidental poisoning,30
Coarctation of the aorta,9
Congenital pulmonary hypertension,2
Eustachian tube dysfunction,14
Otitis media chronic,19
Shone complex,2
Teething,9
Incision site pain,40
Red blood cells urine,11
Cardiac dysfunction,136
Continuous positive airway pressure,9
Injection site induration,264
Neuropsychological test abnormal,2
Central obesity,16
Expiratory reserve volume decreased,1
Reversible airways obstruction,21
Burnout syndrome,17
Loss of employment,45
Retinopathy,98
Tachyphylaxis,12
Wrong schedule,43
Colonic abscess,26
Diarrhoea infectious,21
Enteritis infectious,59
Obstructive pancreatitis,17
Reactive gastropathy,21
Tendon operation,6
Tenosynovitis,87
Wrist surgery,33
Adenoiditis,8
Myopia,33
Respiratory disorder neonatal,49
Diabetic nephropathy,249
Uterine rupture,13
Tongue geographic,3
Vascular pain,30
Heart sounds abnormal,18
Device toxicity,4
Drug tolerance,106
Intestinal ulcer,33
Oesophagitis ulcerative,6
Anti-cyclic citrullinated peptide antibody positive,63
Limb deformity,51
Benign neoplasm,34
Fluid intake reduced,98
Vascular access complication,31
Therapeutic product effect increased,74
Benign neoplasm of thyroid gland,12
Appendicitis,175
Serratia infection,13
Foreign body aspiration,27
Peripheral arterial occlusive disease,83
Coagulation test abnormal,40
Electrocardiogram ST segment depression,57
Trisomy 18,10
Autosomal chromosome anomaly,2
Abortion induced,109
Investigation abnormal,25
Feeling of despair,106
Incorrect dose administered by product,36
Gonococcal infection,5
Meningitis meningococcal,2
Meningococcal sepsis,6
Vaccination failure,12
Malignant melanoma in situ,26
Acarodermatitis,23
Laryngeal injury,2
Meniere's disease,38
Empyema,36
Urethral cancer,3
Bone marrow disorder,63
Narcotic bowel syndrome,1
Product label issue,160
Adnexal torsion,7
Ovarian hyperstimulation syndrome,85
Pelvic fluid collection,36
Akinesia,56
Dysentery,46
Serum sickness,39
High frequency ablation,6
Cardiac neoplasm unspecified,5
Cerebellar syndrome,56
Hemianopia homonymous,11
Quadriplegia,47
Drug level increased,268
Upper respiratory tract congestion,69
Wrong dose,98
Steatorrhoea,42
Enterocolitis haemorrhagic,33
Mean cell haemoglobin increased,53
Mean cell volume increased,64
Bradykinesia,120
Cogwheel rigidity,37
Hyperreflexia,64
Slow response to stimuli,33
Inappropriate antidiuretic hormone secretion,210
Thyroid function test abnormal,109
Inappropriate affect,25
Post procedural fistula,9
Horner's syndrome,13
White matter lesion,27
Hyperventilation,111
Rectal tenesmus,17
Heart valve stenosis,10
Carotid artery occlusion,49
Organising pneumonia,118
Depression suicidal,81
Angina bullosa haemorrhagica,22
Blood blister,51
Implantation complication,4
Nasal adhesions,1
Oropharyngeal candidiasis,18
Prolonged expiration,8
Peyronie's disease,11
Product label confusion,104
Cholestasis,470
Device use issue,319
Fallopian tube perforation,3
Ovarian vein thrombosis,2
Ultrasound liver abnormal,3
Uterine perforation,148
Bladder prolapse,40
Venous injury,19
Tunnel vision,53
Enterococcal sepsis,17
Klebsiella sepsis,29
Lymphocele marsupialisation,1
Anaemia of chronic disease,21
Anxiety disorder,69
Hepatic encephalopathy,205
Hyperpyrexia,72
Vascular device user,4
Anal abscess,170
Diarrhoea haemorrhagic,216
Enterostomy,8
Poisoning,135
Conjunctival scar,3
Pemphigoid,206
Rhinalgia,54
Tendon disorder,137
Ischaemia,103
Adjustment disorder with depressed mood,23
Bulimia nervosa,12
Adenocarcinoma,44
Adenocarcinoma of colon,56
Metastases to skin,40
Vulval disorder,19
Implant site haematoma,6
Implant site haemorrhage,10
Infertility female,11
Pregnancy with implant contraceptive,100
Unintended pregnancy,179
Axillary pain,27
Anal squamous cell carcinoma,10
Carcinoid tumour of the appendix,2
Carcinoid tumour of the gastrointestinal tract,6
Metastases to biliary tract,3
Ductal adenocarcinoma of pancreas,8
Electrocardiogram T wave abnormal,29
Incision site erythema,10
Hypoalbuminaemia,143
Palmar-plantar erythrodysaesthesia syndrome,421
Fibromatosis,2
Walking disability,51
Bladder cancer recurrent,38
Procedural haemorrhage,125
Dreamy state,10
Labile blood pressure,16
Drug eruption,295
Fracture delayed union,14
Joint laxity,9
Loose body in joint,11
Osteoporotic fracture,82
Osteochondrosis,20
Adrenocorticotropic hormone deficiency,28
Primary hypothyroidism,14
Secondary adrenocortical insufficiency,48
Eye symptom,8
Cafe au lait spots,3
Lentigo,19
Dyslipidaemia,99
Oropharyngeal discomfort,247
Cellulitis staphylococcal,15
Oesophageal achalasia,19
Painful respiration,48
Foot amputation,43
Agranulocytosis,494
Myocardial necrosis marker increased,50
Gingival pain,139
Gingival swelling,87
Sleep paralysis,19
Pneumonia fungal,53
Product physical consistency issue,124
Lipids increased,50
Faeces pale,54
Oligomenorrhoea,43
Cartilage injury,45
Diaphragmatic spasm,5
Faecal volume decreased,10
Pancreatic neuroendocrine tumour metastatic,10
Swelling of eyelid,199
Myelitis transverse,30
Cardiac ablation,48
Basophil percentage increased,5
Blood immunoglobulin G decreased,43
Blood immunoglobulin M decreased,22
Eosinophil percentage increased,12
Glucose urine present,22
Immature granulocyte count increased,8
Lymphocyte morphology abnormal,11
Monocyte percentage decreased,4
Monocyte percentage increased,32
Myelocyte count increased,13
Myelocyte percentage increased,7
Neutrophil percentage decreased,6
Oral mucosa haematoma,5
Platelet anisocytosis,2
Punctate basophilia,2
Red blood cell elliptocytes present,4
Red blood cells urine positive,59
Specific gravity urine decreased,14
T-lymphocyte count decreased,7
Urine ketone body present,51
White blood cells urine positive,62
Infusion site warmth,25
Scar excision,4
Polymenorrhoea,59
Ureteric calculus removal,1
Ureterolithiasis,40
Pseudogynaecomastia,1
Myoclonic epilepsy,27
Astrocytoma,16
Mesenteric artery embolism,3
Mesenteric artery thrombosis,4
Tinea cruris,10
Pneumonia lipoid,2
Hepatitis E,63
Legal problem,7
Decreased immune responsiveness,264
Toe amputation,170
Conjoined twins,2
Cystoid macular oedema,46
Lymph nodes scan abnormal,5
Lymphadenopathy mediastinal,37
Medical device site bruise,2
Penicillium test positive,1
Lung carcinoma cell type unspecified stage IV,39
Renal cancer metastatic,15
Electrocardiogram ambulatory abnormal,2
Gastrointestinal vascular malformation haemorrhagic,10
Breath odour,37
Infection in an immunocompromised host,10
Calculus bladder,40
Platelet disorder,54
Catheter site inflammation,12
Catheter site pruritus,56
Catheter site warmth,10
Liver transplant,73
Acinetobacter infection,24
Aspergillus infection,179
Corynebacterium infection,9
Escherichia sepsis,77
Hypoproteinaemia,24
Klebsiella infection,105
Moraxella infection,7
Proteus infection,8
Allergy to immunoglobulin therapy,7
Immunoglobulins decreased,32
Staphylococcus test positive,65
Viral skin infection,2
Degenerative bone disease,9
Biliary anastomosis complication,3
Hepatitis alcoholic,6
Weight bearing difficulty,69
Pharyngeal ulceration,34
Perennial allergy,1
Gingival recession,21
Increased viscosity of upper respiratory secretion,19
Breast discomfort,24
Breast swelling,54
Catheter site haemorrhage,58
Catheter site infection,71
Catheter site irritation,40
Catheter site rash,28
Infusion site mass,4
Biliary hamartoma,1
Delayed graft function,58
Haemodialysis,64
Haemodialysis complication,3
Hyperparathyroidism secondary,523
Hypovolaemia,107
Parathyroidectomy,8
Secondary hyperthyroidism,4
Cell death,47
Hepatocellular injury,648
Serum ferritin abnormal,4
Device alarm issue,63
Altered visual depth perception,20
Corneal infection,2
Corneal scar,8
Exposure via eye contact,15
Eye burns,26
Phantom limb syndrome,14
Application site discharge,17
Application site dryness,52
Scleroderma,112
Contraceptive implant,1
Dysphemia,104
Perirenal haematoma,10
Ureteric dilatation,12
Ureteric obstruction,29
Urinoma,4
Intestinal angioedema,8
Spontaneous penile erection,9
Cholecystitis chronic,26
Appetite disorder,139
Insulin tolerance test abnormal,1
Myositis,177
Impulsive behaviour,86
Breast discharge,33
Neutropenic sepsis,167
Stool analysis abnormal,2
Lack of injection site rotation,31
Adenoid cystic carcinoma,3
Depressive symptom,65
Mycobacterium avium complex immune restoration disease,2
Necrotising retinitis,16
Acute psychosis,45
Cardiac aneurysm,23
Liposarcoma,6
Viral mutation identified,82
Virologic failure,97
Painful erection,12
Penile erythema,4
Penile pain,42
Penile swelling,13
Soft tissue inflammation,5
Lumbar radiculopathy,17
Pericardial mass,1
Post procedural constipation,8
Radiculopathy,72
Hypersensitivity pneumonitis,35
Skin odour abnormal,69
Impatience,32
Blood chloride decreased,42
Biopsy lung,14
Endotracheal intubation,54
Systemic scleroderma,25
Pneumocystis jirovecii infection,30
Terminal insomnia,36
Neurofibromatosis,4
Lividity,9
Post laminectomy syndrome,5
Febrile bone marrow aplasia,77
Enterocolitis viral,7
Uterine haemorrhage,129
Bone neoplasm,20
Drug half-life reduced,3
Ductus arteriosus stenosis foetal,20
Adrenal haemorrhage,14
Meningitis cryptococcal,39
Renal transplant failure,23
Pulse abnormal,55
Ductus arteriosus premature closure,10
Right ventricular dysfunction,28
Aortic dissection,57
Infusion site cellulitis,7
Scintillating scotoma,5
Oculogyric crisis,40
Functional residual capacity decreased,2
Restrictive pulmonary disease,38
Vital capacity abnormal,1
Intraductal proliferative breast lesion,23
Mastication disorder,56
Vitamin B12 increased,23
Blood growth hormone abnormal,6
Cardiac iron overload,2
Lung consolidation,61
Serum ferritin decreased,54
Cortisol decreased,46
Product availability issue,286
Device related thrombosis,33
Hepatitis B surface antibody positive,8
Human papilloma virus test positive,7
Arthrodesis,33
Eyelid disorder,52
Toxic shock syndrome,5
Petit mal epilepsy,111
Skin toxicity,86
Parainfluenzae virus infection,66
Extremity contracture,16
Procedural hypertension,2
Catheter site bruise,6
Haemorrhagic transformation stroke,24
Colonoscopy,49
Seborrhoea,255
Cutaneous calcification,11
Ligament disorder,16
Spleen contusion,1
Detachment of retinal pigment epithelium,8
Posterior capsule opacification,4
Retinal drusen,3
Subretinal fluid,16
Skin hyperpigmentation,415
Cytomegalovirus enterocolitis,15
Mucosal disorder,34
Pneumonia staphylococcal,34
Liver injury,396
Gastric volvulus,4
Cervix disorder,10
Myelopathy,62
Quadriparesis,36
Venous thrombosis limb,54
Tobacco abuse,9
Intestinal dilatation,20
Trichorrhexis,52
Photodermatosis,15
Essential tremor,24
Brain oedema,281
Capillary nail refill test,1
Cytokine release syndrome,248
Livedo reticularis,58
Pseudarthrosis,2
Artificial crown procedure,10
Hand repair operation,1
Incision site impaired healing,8
Thyroid gland abscess,3
Vitamin C deficiency,5
Threatened labour,8
Precocious puberty,13
Lactic acidosis,688
Normal pressure hydrocephalus,6
Aortitis,18
Adenomatous polyposis coli,4
Desmoid tumour,12
Fistula discharge,29
Pelvic mass,18
Multiple injuries,13
Optic ischaemic neuropathy,39
Myasthenia gravis crisis,30
Respiratory muscle weakness,6
Hospice care,166
Pancreas transplant,3
Appendiceal abscess,7
Post procedural discomfort,28
Thiopurine methyltransferase decreased,5
Social anxiety disorder,14
Hair colour changes,1059
Oral mucosal blistering,162
Tongue blistering,48
Drug tolerance decreased,74
Renal hypertension,25
Bladder spasm,44
Breast disorder,55
